FID,munition_type,description,infoprov,thedate,dist_coast,geometry
munitions.1,Chemical,The Berlin is suspected to have been scuttled on 31 May 1946 with chemical weapons onboard.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,6830.057308,POINT (57.1471999995804 10.8199999997003)
munitions.2,Chemical,"In this area (near Zmeiny Island and in the vicinity of Crimea), the Soviet Union disposed of one or more of the following chemical agents: Levinstein mustard gas, Zaikov mustard gas, viscous solutions of mustard gas and lewisite, hydrocyanic acid",https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,115381.2159,POINT (43.0970999996653 34.5437000002549)
munitions.3,Chemical,Dumping in this area occurred from 1945 to 1965. From August 1945-December 1946: The British Autorities in Germany; August 1947-January 1948: The Soviet Military Authority in Germany dumped 11000T of CW; 1959-July 1965: The GDR dumped a total of 60T,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,28835.10475,POINT (55.318700000105 15.6516000003398)
munitions.4,Chemical,The Bremse is suspected to have been scuttled with chemical weapons onboard.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,31550.32108,POINT (57.8700000001 6.25000000019992)
munitions.5,Chemical,"Munitions dumped near this location include: 5,920 mustard bombs, 591 adamsite bombs, 479 CN (chloroacetophenone) bombs, 671 mustard gas artillery shells, 61 adamsite artillery shells, 36 CN artillery shells, 314 mustard filled high-explosive bombs.",https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,12988.70258,POINT (55.2729999997503 15.3856999996553)
munitions.6,Chemical,The German Marinefï¿½hrprahm (Landing Craft) F-192 was scuttled near this location on 10 May 1946.  A Norwegian study of sea-dumped chemical weapons in the Skagerrak strait lists the F-192 as being suspected of carrying chemical weapons.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,27417.4749,POINT (58.1330000001499 10.8667000003048)
munitions.7,Chemical,Reports indicate the possibility of CW dumping conducted on 28 April 1945 in the southern section of the Flensborg Fjord by German vessels en route to the Little Belt area. It is estimated that 1200T of chemical munitions may have been dumped.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,1243.389841,POINT (54.81780000007 9.72899999965028)
munitions.8,Unknown,"Following several incidents in the 1950s, chemical warfare materials were suspected to have been dumped at a depth of between 260-260 ft of water alongside conventional munitions within a region of about 100 hectares.",https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,26113.34314,POINT (54.7500000003998 19.1666999999051)
munitions.9,Chemical,"Dumping of CW by the Soviet Military Adminstration in Germany [2] occurred near these coordinates in an area of 141,610 hectacres [2], at a depth of between 300-450 ft, between May and September, 1947, and included 2,000T of chemical munitions",https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,109855.6284,POINT (55.7994000003098 19.0701000004148)
munitions.10,Chemical,The H.C. Horn is suspected to have been scuttled on 26 May 1946 with chemical weapons onboard.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,29025.60447,POINT (58.1417000002548 10.8332999996953)
munitions.11,Chemical,The Krysser Leipzig was scuttled on 16 December 1946 while carrying 1000T of suspected chemical munitions.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,31299.17423,POINT (57.8669000001349 6.2625000001749)
munitions.12,Chemical and conventional,"In 1961, hydrogen chloride and phosgene gas containers were loose dumped near this location. Conventional munitions have also been recovered at this site including 15 torpedoes, 1431 10.5 cm piece of artillery shells, and 382 U.S. 20 lbs. cluster bombs.",https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,6298.347012,POINT (54.0362000003298 10.9264999997752)
munitions.13,Chemical,A ship designated M-16 is suspected to have been scuttled in this area on 18 May 1946 while carrying chemical weapons.,https://www.nonproliferation.org/chemical-weapon-munitions-dumped-at-sea/,2021,34525.50613,POINT (58.1700000003997 10.7066999999051)
