FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.21,Denmark,DK35,Operational,Tyra WC,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1499,815,01/01/1984,,41,210002.399704,Wellhead,POINT (55.7154585220001 4.74882820800002)
platforms.22,Denmark,DK32,Operational,Tyra EF,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,700,3100,01/01/1995,,37,206740.728192,"Bridge module, processing",POINT (55.721865275 4.80149486500005)
platforms.23,Denmark,DK14,Operational,Gorm B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,945,01/01/1981,,38,209016.128718,Wellhead,POINT (55.5792035430001 4.75903245400002)
platforms.24,Denmark,DK17,Operational,Gorm E,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1634,3900,01/01/1981,,38,208872.107172,Riser. Owner: DONG OIL PIPE AS,POINT (55.581422305 4.76126469100006)
platforms.25,Denmark,DK13,Operational,Gorm A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,1100,01/01/1981,,38,209000.693624,Wellhead,POINT (55.5797780720001 4.75926358400005)
platforms.26,Denmark,DK19,Operational,Harald A,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,3800,6000,01/01/1997,,64,237473.585834,"Wellhead, processing",POINT (56.3458900150001 4.27347012000007)
platforms.28,Denmark,DK04,Operational,Dan C,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,385,100,01/01/1972,,42,185760.411797,Flare,POINT (55.470314166 5.13570792700006)
platforms.29,Denmark,DK31,Operational,Tyra EE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1628,1415,01/01/1984,,37,206706.056992,Riser,POINT (55.72140734 4.80199569400003)
platforms.30,Denmark,DK09,Operational,Dan FC,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1700,8700,01/01/1987,,43,187492.789332,Process/accommodation,POINT (55.4788828600001 5.10716464300003)
platforms.31,Denmark,DK49,Operational,Halfdan BA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3050,2500,01/01/2002,,43,191876.243179,"Wellhead, separation",POINT (55.5386635190001 5.03228498300007)
platforms.32,Denmark,DK64,Operational,Syd Arne - wellhead platform E,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2224,1932,01/01/2013,,60,240755.470604,Wellhead platform. Bridge connected to Syd Arne. S./P. = 2224 t /2014 t,POINT (56.0788893660001 4.23231557200006)
platforms.33,Denmark,DK44,Operational,Cecilie,Fixed steel,Above water production,DONG E & P,5604/20,Crude Oil,2000,700,01/01/2003,,60,207166.993093,"Wellhead, satellite to Siri/removable",POINT (56.4027588370001 4.76105833700007)
platforms.34,Denmark,DK46,Operational,Nini B,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,01/01/2010,,60,166737.400503,"Wellhead, satellite to Siri/removable",POINT (56.6753980140001 5.41385881100007)
platforms.35,Denmark,DK16,Operational,Gorm D,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,750,220,01/01/1981,,38,208862.345636,Flare,POINT (55.579714032 4.76145773900004)
platforms.36,Denmark,DK10,Operational,Dan FD,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,491,250,01/01/1987,,43,187465.200133,Flare,POINT (55.4799568920001 5.10747121300005)
platforms.37,Denmark,DK41,Operational,Halfdan DA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2800,800,01/01/2000,,43,193494.566726,"Wellhead, processing",POINT (55.5307873950001 5.00715354900007)
platforms.38,Denmark,DK28,Operational,Tyra EB,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1417,838,01/01/1984,,37,206797.527188,Wellhead,POINT (55.720738302 4.80046270200006)
platforms.39,Denmark,DK56,Operational,Halfdan BC,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2000,3000,01/01/2007,,43,191722.42241,Accommodation,POINT (55.5393504630001 5.03468077300005)
platforms.40,Denmark,DK08,Operational,Dan FB,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1705,2100,01/01/1987,,43,187390.262327,Wellhead,POINT (55.4795683990001 5.10870587100004)
platforms.41,Denmark,DK39,Operational,Tyra EA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,4120,18000,01/01/1984,,37,206641.291755,Process/accommodation,POINT (55.721955999 4.80308995600006)
platforms.42,Denmark,DK07,Operational,Dan FA,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1690,1970,01/01/1987,,43,187314.657244,Wellhead,POINT (55.4804417660001 5.10979825700002)
platforms.43,Denmark,DK63,Operational,Syd Arne - wellhead platform N,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2333,1762,01/01/2013,,60,241452.867118,Wellhead platform. Satellite to Syd Arne. S./P. = 2333 t /2122 t,POINT (56.09640088 4.22069151900007)
platforms.44,Denmark,DK27,Operational,Svend,Fixed steel,Above water production,Mærsk,5504/25,Crude Oil,1150,575,01/01/1996,,65,243986.721713,Wellhead,POINT (56.1790314150001 4.18076815000006)
platforms.45,Denmark,DK54,Operational,Valdemar BA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,460,01/01/2007,,42,222249.437004,Wellhead,POINT (55.8047218990001 4.56569932300005)
platforms.46,Denmark,DK38,Operational,Valdemar AA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,650,450,01/01/1993,,43,222161.273811,Wellhead,POINT (55.83497407 4.56288402000007)
platforms.47,Denmark,DK43,Operational,Nini A,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,01/01/2003,,60,172096.50984,"Wellhead, satellite to Siri/removable",POINT (56.6414339890001 5.32255386900005)
platforms.48,Denmark,DK42,Operational,Siri,Other,Above water production,DONG E & P,5604/20,Crude Oil,2000,8000,01/01/1999,,60,197256.477949,Steeltank on seabottom/removable,POINT (56.4833258 4.91257990600008)
platforms.49,Denmark,DK22,Operational,Roar,Fixed steel,Above water production,Mærsk,5504/7,Natural Gas,950,550,01/01/1996,,46,216628.168156,"Wellhead, separation",POINT (55.768152958 4.64974598700007)
platforms.50,Denmark,DK48,Operational,Tyra SEA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,880,550,01/01/2002,,38,201160.518757,"Wellhead, separation",POINT (55.6402876160001 4.88404746400005)
platforms.51,Denmark,DK33,Operational,Tyra WA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1813,9500,01/01/1984,,41,209845.062629,Process/accommodation,POINT (55.717052284 4.75150182000004)
platforms.52,Denmark,DK52,Operational,Dan FG,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,2900,11000,01/01/2005,,43,187322.322885,Process,POINT (55.477052461 5.11009155400006)
platforms.53,Denmark,DK21,Operational,Kraka,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,400,01/01/1991,,45,189995.059422,Wellhead,POINT (55.4027201760001 5.07976983400005)
platforms.54,Denmark,DK05,Operational,Dan D,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1050,100,01/01/1972,,42,185811.585156,Wellhead,POINT (55.4694095890001 5.13501636300003)
platforms.55,Denmark,DK37,Operational,Tyra WE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1000,4000,01/01/1984,,41,209903.968273,"Bridge module, processing",POINT (55.716037779 4.75045668700005)
platforms.57,Denmark,DK03,Operational,Dan B,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1045,1700,01/01/1972,,42,185841.763938,"Separation, accomodation",POINT (55.4697128870001 5.13449784600004)
platforms.58,Denmark,DK02,Operational,Dan A,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,870,100,01/01/1972,,42,185875.382866,Wellhead,POINT (55.4694107810001 5.13400499000005)
platforms.59,Denmark,DK30,Operational,Tyra ED,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,579,220,01/01/1984,,37,206565.731303,Flare,POINT (55.721126763 4.80420048400003)
platforms.60,Denmark,DK01,Closed down,Dagmar,Fixed steel,Above water production,Mærsk,5504/15,Crude Oil,500,532,01/01/1991,,40,217813.764964,"Wellhead, production closed p.t.",POINT (55.577148934 4.61965937800005)
platforms.61,Denmark,DK50,Operational,Halfdan DB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1000,2200,01/01/2003,,43,193580.921455,Accommodation,POINT (55.5316696020001 5.00572580000005)
platforms.62,Denmark,DK66,Under construction,Hejre A,Fixed steel,Above water production,DONG E & P,5603/28,Crude Oil,8400,17500,01/01/2017,,68,257528.141425,"HPHT. Weights are approximate, excluding 8 piles.",POINT (56.2474384990001 3.96031304800005)
platforms.64,Denmark,DK18,Operational,Gorm F,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,2000,11000,01/01/1991,,38,209052.614707,"Wellhead, processing",POINT (55.5790713310001 4.75845734800004)
platforms.65,Denmark,DK26,Operational,Skjold C,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,830,1200,01/01/1994,,40,199736.037658,Accommodation,POINT (55.5322139020001 4.90818567300005)
platforms.67,Denmark,DK55,Operational,Halfdan BB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1800,1380,01/01/2008,,43,191829.047622,"Riser, wellhead",POINT (55.5389827020001 5.03301352600005)
platforms.68,Denmark,DK25,Operational,Skjold B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,545,1100,01/01/1994,,40,199597.462817,"Wellhead, bridge module",POINT (55.5316880840001 4.91041625500003)
platforms.69,Denmark,DK06,Operational,Dan E,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1100,600,01/01/1977,,42,186812.473345,"Water Injection, no production",POINT (55.481350761 5.11764701400006)
platforms.71,Denmark,DK67,Under construction,Ravn A,Fixed steel,Above water production,Wintershall,5504/1,Crude Oil,1112,678,01/01/2015,,48,241999.036683,"Wellhead, satellite to German A6-A. S./P. = 1112/970 tonnes.",POINT (55.8805849830001 4.23466571600005)
platforms.72,Denmark,DK11,Operational,Dan FE,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,1270,01/01/1992,,43,187260.276148,"Wellhead, bridge module",POINT (55.4810040850001 5.11059236700004)
platforms.73,Denmark,DK53,Operational,Valdemar AB,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,480,01/01/2006,,43,222139.14292,"Wellhead, separation",POINT (55.8344307500001 4.56336678900004)
platforms.74,Denmark,DK20,Operational,Harald B,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,1700,1300,01/01/1997,,64,237484.934058,Accommodation,POINT (56.344794903 4.27336811300006)
