FID,port_id,data_src_c,port_coor_,the_geom
portlocations.1,ESGAR,2110,4,POINT (37.181592305 -1.82105112999994)
portlocations.2,ESACA,2110,3,POINT (40.574600312 0.547101449000024)
portlocations.3,ESSCR,2107,3,POINT (40.617389029 0.600645136000026)
portlocations.4,ESBRM,2110,3,POINT (43.4173386630001 -2.71670000299997)
portlocations.5,ESLPA,2111,1,POINT (28.136104931 -15.4250538269999)
portlocations.6,ESSCT,2111,1,POINT (28.4818963540001 -16.239274902)
portlocations.7,PTFNC,5106,1,POINT (32.6455078120001 -16.9089965819999)
portlocations.8,PTCNL,5105,7,POINT (32.737121582 -16.734313965)
portlocations.9,PTPXO,2109,1,POINT (33.0639038090001 -16.3145141599999)
portlocations.10,ESMLN,2110,1,POINT (35.2838745120001 -2.93762206999997)
portlocations.11,ESCEU,2110,1,POINT (35.8903198240001 -5.31329345699993)
portlocations.12,ESALG,2110,1,POINT (36.1280135000001 -5.43161749999996)
portlocations.13,ESCAD,2110,1,POINT (36.5324707030001 -6.28149414099994)
portlocations.14,ESAGP,2110,1,POINT (36.7119140620001 -4.41778564499998)
portlocations.15,ESMOT,2110,2,POINT (36.723693848 -3.52947997999996)
portlocations.16,ESLEI,2110,1,POINT (36.83190918 -2.47540283199993)
portlocations.17,PTVDP,5106,6,POINT (36.940490723 -25.141296387)
portlocations.18,PTFAO,2107,6,POINT (37.0114746090001 -7.93341064499998)
portlocations.19,PTPRM,2110,3,POINT (37.137329102 -8.53308105499997)
portlocations.20,ESHUV,5106,1,POINT (37.2495117190001 -6.95788574199997)
portlocations.21,ESSVQ,2110,3,POINT (37.366271973 -6.02252197299993)
portlocations.22,ESCAR,2109,1,POINT (37.5975861260001 -0.984409041999925)
portlocations.23,PTPDL,5106,5,POINT (37.7416992190001 -25.657592773)
portlocations.24,PTSIE,2110,1,POINT (37.953835 -8.86676799999998)
portlocations.25,ESALC,2110,1,POINT (38.3344726560001 -0.489807128999928)
portlocations.26,PTSET,2110,3,POINT (38.5206909180001 -8.88879394499997)
portlocations.27,PTHOR,2109,5,POINT (38.5280761720001 -28.624389648)
portlocations.28,PTCDP,2109,6,POINT (38.5314941410001 -28.320129395)
portlocations.29,PTADH,5106,6,POINT (38.653686523 -27.218383789)
portlocations.30,PTVEL,5106,5,POINT (38.678527832 -28.210021973)
portlocations.31,PTLIS,2110,1,POINT (38.727018 -9.10533949999996)
portlocations.32,PTPRV,2109,6,POINT (38.7286987300001 -27.060913086)
