FID,source_id,country,name,least_depth,max_depth,depth_info,depth_prec,object_length,loc_prec,site_area,sink_context,sink_yr,dating,period,statutory,obj_desc,ship_char,obj_type,est_tonnag,place_orig,place_dest,artefacts,coast_dist,source_inf,reference,website1,website2,the_geom
heritageshipwrecks.4967,8791,France,Balise de Rabiou,30,31,n.a.,n.a.,,,,n.a.,,mid-late C1st AD,Roman,n.a.,A cargo of amphorae from a small local ship,n.a.,n.a.,20,n.a.,n.a.,Amphorae,269.19834378,The Oxford Roman Economy Project,"B. Dangreaux,  Bilan Scientifique 1993, 50; A. and P. Joncheray,Bilan Scientifique 2001, 78-79; Bilan Scientifique 2003, 91-92; Bilan Scientifique 2004, 83; Bilan Scientifique 2005, 80-81.",n.a.,n.a.,POINT (43.27988 6.68071000000003)
heritageshipwrecks.4703,8874,Italy,Capo Linaro,,,n.a.,n.a.,,,,n.a.,,mid C 1st AD,Roman Imperial,n.a.,Dolia,n.a.,n.a.,,n.a.,n.a.,n.a.,137.8088221,The Oxford Roman Economy Project,"C. Beltrame, Vita di Bordo in Eta Romana, 2002, p. 459; Petriaggi, Naxos 1997.",n.a.,n.a.,POINT (42.0323900000001 11.83124)
heritageshipwrecks.4704,8877,Italy,Alghero 1,,,n.a.,n.a.,,,,n.a.,,late C1st BC- mid 2nd AD,Roman Imperial,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,196.26929255,The Oxford Roman Economy Project,"C. Beltrame, Vita di Bordo in Eta Romana, 2002, p. 460; P Spanu (personal communication to Beltrame).",n.a.,n.a.,POINT (40.5575600000001 8.30944000000005)
heritageshipwrecks.4710,8411,Italy,Santa Caterina di Nardo,,,n.a.,n.a.,,,,n.a.,,mid C2nd BC,Hellenistic,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,Amphorae,1667.12083897,The Oxford Roman Economy Project,"site 7, area 9",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.13633 17.9516600000001)
heritageshipwrecks.4713,8475,Croatia,Skoljic,,,n.a.,n.a.,,,,n.a.,,mid C1st- mid C2nd AD,Roman,n.a.,n.a.,n.a.,n.a.,,Northern Italy,n.a.,Amphorae,1128.14560397,The Oxford Roman Economy Project,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 75 and  in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192",n.a.,n.a.,POINT (44.6333300000001 14.21666)
heritageshipwrecks.4716,8825,Italy,Cala Palombara,,,n.a.,n.a.,,,,n.a.,,end C 2nd-end 1st BC,Late Republican,n.a.,The site is covered with scattered pieces of amphorae attached to the seabad or amassed inside the cavaties if the rocks,n.a.,n.a.,,n.a.,n.a.,Amphorae,75.23414264,The Oxford Roman Economy Project,"site 149, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.14829 18.49823)
heritageshipwrecks.4718,8827,Italy,Torre Chianca (Lecce),,,n.a.,n.a.,,,,n.a.,,C2nd-4th AD,Roman Imperial,n.a.,Three connected sites that may well be one shipwreck,n.a.,n.a.,,n.a.,n.a.,Amphorae,315.25085341,The Oxford Roman Economy Project,"sites 81, 167 and 168 area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.4603900000001 18.2180700000001)
heritageshipwrecks.4719,8826,Italy,Mucurune,,,n.a.,n.a.,,,,n.a.,,n.a.,Late Republican,n.a.,The site area can be identified by a wide spread of amphorae sherds,n.a.,n.a.,,n.a.,n.a.,Amphorae,563.18147879,The Oxford Roman Economy Project,"site 6, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.0668900000001 18.4879300000001)
heritageshipwrecks.4720,8829,Italy,Isole Pedagne Grandi,,,n.a.,n.a.,,,,n.a.,,late C1st BC-early 1st AD,Late Republican/Imperial,n.a.,"A probable shipwreck with a variety of very fragmented pottery, including amphorae, coarse ware and glazed pieces, with assorted pieces of wood",n.a.,n.a.,,n.a.,n.a.,"Amphorae, Marble, Columns",373.200485,The Oxford Roman Economy Project,"site 5, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.60026 18.0477900000001)
heritageshipwrecks.1,FR 0000168844 00001,France,n.a.,40,,n.a.,Least depth known,12,10,,n.a.,,n.a.,n.a.,n.a.,"03/10/2009: Metal barge about 12 meters long, 5 meters wide and protruding from the bottom of about 2 meters",Barge,"Raft, barge",,n.a.,n.a.,n.a.,649.4902476,SHOM,n.a.,n.a.,n.a.,POINT (-13.3858369289999 -176.190500953)
heritageshipwrecks.4709,8329,Italy,Punta Licosa 1,30,32,n.a.,n.a.,,,,n.a.,,C1st BC,Roman Republic,n.a.,Excavation and recovery 1990-1995 of the cargo of amphorae,n.a.,n.a.,,n.a.,n.a.,Amphorae,3212.26597558,The Oxford Roman Economy Project,"site 51, area 22, C. Beltrame, Vita di Bordo in Eta Romana, 2002, p. 459",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.2550900000001 14.86724)
heritageshipwrecks.4721,8828,Italy,Torre Testa - Porto di Brindisi,,,n.a.,n.a.,,,,n.a.,,C2nd-mid 1st BC,Roman Republic,n.a.,A range of pottery spread over a vast area of silt and debris. Maybe a shipwreck that has been disturbed by the continuous passage of lare ships,n.a.,n.a.,,n.a.,n.a.,Amphorae,444.69654234,The Oxford Roman Economy Project,"site 271, area",http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html,n.a.,POINT (40.6883100000001 17.88368)
heritageshipwrecks.2,FR 0000115995 00001,France,n.a.,2.9,,n.a.,Least depth known,12,1,,n.a.,,n.a.,n.a.,n.a.,04/27/1996: barge (8m * 12m),Barge,"Raft, barge",,n.a.,n.a.,n.a.,161.91272355,SHOM,n.a.,n.a.,n.a.,POINT (-13.336491682 -176.185365927)
heritageshipwrecks.4722,8916,Croatia,Cape Tiha,,,n.a.,n.a.,,,,n.a.,,C4th-3rd BC,Hellenistic,n.a.,"A looted wreck, although dispersed finds are known from private collections",n.a.,n.a.,,n.a.,n.a.,Amphorae,1270.78416659,The Oxford Roman Economy Project,"M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192",n.a.,n.a.,POINT (42.70538 17.8720000000001)
heritageshipwrecks.4724,8918,Croatia,Veli Porat,,,n.a.,n.a.,,,,n.a.,,C2nd-1st BC,Roman Republic,n.a.,A looted cargo of amphorae with some cabin ware of Eastern Sigilatta A - the only example from the Adriatic,n.a.,n.a.,,n.a.,n.a.,Amphorae,1358.16845318,The Oxford Roman Economy Project,"M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192",n.a.,n.a.,POINT (43.0692500000001 16.69784)
