FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.1,Belgium,Belwind Alstom Haliade Demonstration,1,6,Production,2013,43900.7770118,,POINT (51.6900000003998 2.84000000000003)
windfarms.21,Denmark,Samso,9,20.7,Production,2003,5333.28323803,,POINT (55.7199999999002 10.58)
windfarms.22,Denmark,Samso,1,2.3,Dismantled,2018,5333.28323803,2018,POINT (55.7199999999002 10.58)
windfarms.23,Denmark,Samso,1,2.3,Production,2018,5333.28323803,,POINT (55.7199999999002 10.58)
windfarms.32,Denmark,Vindeby-Lolland,11,4.95,Dismantled,1991,1676.31285727,2017,POINT (54.9699999996004 11.1299999998002)
windfarms.64,Finland,Ajos 1,1,3,Dismantled,2005,14.59668308,2016,POINT (65.6580000003997 24.5600000002999)
windfarms.65,Finland,Ajos 2-3,2,6,Dismantled,2008,617.84155917,2016,POINT (65.6669999999501 24.4999999997003)
windfarms.66,Finland,Ajos 4,1,3,Dismantled,2008,53.04014984,2016,POINT (65.6580000003997 24.5509999998501)
windfarms.67,Finland,Ajos 5,1,3,Dismantled,2007,627.5147217,2016,POINT (65.6500000001999 24.5630000001499)
windfarms.68,Finland,Ajos 6-7,2,6,Dismantled,2008,53.04014984,2016,POINT (65.6580000003997 24.5509999998501)
windfarms.36,Estonia,Loode-Eesti Meretuulepark,200,1100,Planned,,8027.17115278,,POINT (59.1499999997003 22.5000000001)
windfarms.38,Estonia,Neugrund,38,234,Planned,,8226.24028519,,POINT (59.3199999999001 23.5499999998002)
windfarms.41,Estonia,Saare,100,600,Planned,,17436.6770094,,POINT (58.1400000001 21.6699999996004)
windfarms.2,Denmark,Bocher Banke,,1102.5,Planned,,17145.5506181,,POINT (57.4500000003998 11.3599999997003)
windfarms.69,Finland,Ajos 8-9-10-11,4,12,Dismantled,2008,53.04014984,2016,POINT (65.6580000003997 24.5509999998501)
windfarms.70,Finland,Ajos Repowering,8,26.4,Production,2017,787.92646533,,POINT (65.6680000001999 24.5450000001499)
windfarms.78,Finland,Pori Offshore 1,1,2.3,Production,2010,918.37505995,,POINT (61.6199999998002 21.3499999997003)
windfarms.80,Finland,Pori-Tahkoluoto,10,42,Production,2017,5511.38505116,,POINT (61.6080000003997 21.2599999997003)
windfarms.88,France,Eolink Prototype,1,0.2,Dismantled,2018,406.04533115,,POINT (48.3520000001999 -4.56200000009989)
windfarms.89,France,FLOATGEN Demonstrator 1  IDEOL Gamesa,1,2,Production,2018,10604.7410201,,POINT (47.2379999998002 -2.77799999960024)
windfarms.97,Germany,Arkona,60,384,Production,2018,35444.9502751,,POINT (54.7530000002499 14.1200000002998)
windfarms.99,Germany,Breitling,1,2.5,Production,2006,358.79225165,,POINT (54.1599999996004 12.1299999996003)
windfarms.100,Germany,Emden Offshore,1,4.5,Production,2004,378.40096704,,POINT (53.33 7.20999999990011)
windfarms.101,Germany,EnBW Baltic 1,21,48.3,Production,2011,15179.4492034,,POINT (54.6090000002499 12.6510000002498)
windfarms.102,Germany,EnBW Baltic 2,80,288,Production,2015,36849.4672693,,POINT (54.9999999999001 13.1999999998002)
windfarms.104,Germany,Hooksiel,1,5,Dismantled,2008,758.4019571,2016,POINT (53.6370000002499 8.1040000001999)
windfarms.105,Germany,Wikinger Offshore,70,366.1,Production,2017,38945.1424461,,POINT (54.8339999998002 14.0679999999001)
windfarms.72,Finland,Inkoo,60,300,Planned,,4411.25466507,,POINT (59.8599999999001 23.8900000001999)
windfarms.81,Finland,Raahe,70,350,Planned,,8449.56907721,,POINT (64.58 24.0899999998002)
windfarms.82,Finland,Raahe,24,72,Planned,,7455.99153798,,POINT (64.7799999996004 24.3999999999001)
windfarms.83,Finland,Röyttä III,14,70,Planned,,1145.28607622,,POINT (65.7400000001999 24.2199999999002)
windfarms.84,Finland,Siipyyn,80,400,Planned,,9014.79072548,,POINT (62.0739999999001 21.1049999996503)
windfarms.85,Finland,Ulkonahkiainen,70,210,Planned,,17882.3365362,,POINT (64.6100000002998 23.8900000001999)
windfarms.90,France,Golfe du Lion,5,30,Approved,,18817.9839332,,POINT (42.8099999998002 3.27000000039976)
windfarms.93,France,Provence Grand Large,3,25.2,Approved,,16766.3112023,,POINT (43.1799999996003 4.81000000019992)
windfarms.96,Germany,Arcadis Ost 1,27,256.5,Construction,,20295.0423384,,POINT (54.8199999999001 13.64)
windfarms.98,Germany,Baltic Eagle,83,476,Approved,,31161.4932606,,POINT (54.8299999997003 13.8699999999001)
windfarms.103,Germany,Gennaker,103,865.2,Approved,,14212.0187065,,POINT (54.6099999996003 12.6099999999001)
windfarms.108,Greece,Diapontia Wind phase Five,4,20,Planned,,910.65652964,,POINT (39.8700000001 19.4400000001)
windfarms.109,Greece,Diapontia Wind phase Nine,6,30,Planned,,4909.96973256,,POINT (39.7999999997003 19.4499999999001)
windfarms.110,Greece,Diapontia Wind phase Seven,3,15,Planned,,4125.5466077,,POINT (39.8700000001 19.4800000001999)
windfarms.111,Greece,Diapontia Wind phase Six,4,20,Planned,,1494.48333107,,POINT (39.8600000002998 19.4499999999001)
windfarms.183,Italy,Taranto Offshore,10,30,Production,2022,1422.35646913,,POINT (40.4849999999501 17.1349999998502)
windfarms.191,Netherlands,Irene Vorrink I,19,11.4,Dismantled,1996,6875.12849017,2022,POINT (52.5979999997003 5.58800000029981)
windfarms.192,Netherlands,Irene Vorrink II,9,5.4,Dismantled,1997,6875.12849017,2022,POINT (52.5979999997003 5.58800000029981)
windfarms.193,Netherlands,Lely,4,2,Dismantled,1997,15813.805465,2016,POINT (52.7999999998002 5.1200000002998)
windfarms.194,Netherlands,Westermeerdijk buitendijks,48,144,Production,2016,6769.24355999,,POINT (52.7199999996004 5.58000000009997)
windfarms.195,Netherlands,Windpark Fryslân,89,382.7,Production,2021,4100.12194225,,POINT (53.0000000002998 5.26000000019991)
windfarms.199,Norway,Hywind Metcentre,1,2.3,Production,2009,8167.63005743,,POINT (59.1399999999001 5.03000000029982)
windfarms.201,Norway,Marine Energy Test Centre Karmoy Fixed,2,10,Production,2019,5360.0225662,,POINT (59.1560000002999 5.0779999997003)
